City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
230,port hedland,70,AU,1586921617,39,-20.32,118.57,96.8,8.05
231,stephenville,1,US,1586921617,70,32.22,-98.2,46.4,10.29
232,guerrero negro,82,MX,1586921618,77,27.98,-114.06,62.51,17.69
233,uddevalla,100,SE,1586921618,70,58.35,11.94,44.6,14.99
234,dakoro,5,NE,1586921618,14,14.51,6.76,80.24,10.65
235,loreto,39,MX,1586921618,10,22.27,-101.97,67.37,8.41
236,iwanai,85,JP,1586921618,60,42.97,140.51,44.4,7.49
237,plettenberg bay,0,ZA,1586921619,72,-34.05,23.37,59.13,3.18
238,pachino,38,IT,1586921619,81,36.72,15.09,57.0,3.36
239,pringsewu,100,ID,1586921619,72,-5.36,104.97,85.03,1.57
240,college,75,US,1586921619,39,64.86,-147.8,51.8,0.56
241,tyrma,0,RU,1586921620,34,50.08,132.17,52.68,5.3
242,lubao,75,PH,1586921620,59,14.92,120.55,89.6,11.41
243,dwarka,8,IN,1586921364,76,22.24,68.97,80.49,15.1
244,palimbang,56,PH,1586921620,69,6.21,124.19,84.81,5.26
245,kodinar,0,IN,1586921621,35,20.79,70.7,87.55,10.85
246,kijang,100,KR,1586921621,22,35.24,129.21,66.2,3.36
247,shaoguan,38,CN,1586921621,49,24.8,113.58,73.15,2.75
248,ust-nera,94,RU,1586921621,84,64.57,143.2,21.02,6.6
249,wangou,97,CN,1586921622,23,42.06,126.91,61.07,5.14
250,greenville,90,US,1586921588,71,35.61,-77.37,62.6,5.82
251,sao filipe,78,CV,1586921622,77,14.9,-24.5,71.94,12.33
252,lisakovsk,0,KZ,1586921622,70,52.54,62.49,37.96,14.7
253,margate,98,GB,1586921580,68,51.38,1.39,45.0,8.23
254,pitimbu,40,BR,1586921623,94,-7.47,-34.81,77.0,2.24
255,hambantota,82,LK,1586921623,76,6.12,81.12,82.9,5.41
256,airai,87,TL,1586921623,53,-8.93,125.41,72.5,3.24
257,lasa,5,IT,1586921384,80,46.62,10.7,37.0,4.7
258,faanui,28,PF,1586921349,65,-16.48,-151.75,83.3,5.77
259,lander,90,US,1586921624,55,42.83,-108.73,34.0,4.7
260,wuning,0,CN,1586921624,48,29.26,120.23,68.86,6.78
261,khorramabad,40,IR,1586921624,81,33.49,48.36,42.8,4.7
262,hasaki,75,JP,1586921625,42,35.73,140.83,68.0,8.05
263,hithadhoo,50,MV,1586921625,65,-0.6,73.08,84.79,2.35
264,bloomfield,40,US,1586921591,46,40.81,-74.19,51.01,10.29
265,fare,27,PF,1586921625,63,-16.7,-151.02,84.04,2.89
266,farkhor,90,TJ,1586921612,93,37.49,69.4,51.8,11.18
267,necochea,0,AR,1586921626,78,-38.55,-58.74,57.99,5.99
268,khuzdar,0,PK,1586921626,28,27.74,66.64,70.79,6.8
269,tiarei,14,PF,1586921626,74,-17.53,-149.33,86.0,16.11
270,lisala,10,CD,1586921627,79,2.15,21.52,72.68,2.82
271,oneonta,100,US,1586921627,77,42.45,-75.06,37.99,1.99
272,kirishi,53,RU,1586921627,99,59.45,32.02,30.99,4.38
273,mao,5,ES,1586921628,93,39.89,4.27,53.6,6.93
274,bologoye,99,RU,1586921628,93,57.88,34.11,30.92,4.25
275,tautira,6,PF,1586921351,74,-17.73,-149.15,86.0,16.11
276,guilin,0,CN,1586921628,53,25.28,110.29,71.6,8.95
277,abha,40,SA,1586921569,87,18.22,42.51,60.8,6.93
278,port blair,95,IN,1586921629,72,11.67,92.75,83.59,6.42
279,veraval,4,IN,1586921629,38,20.9,70.37,86.54,11.32
280,esso,51,RU,1586921629,77,55.93,158.7,28.62,3.62
281,batagay-alyta,68,RU,1586921629,79,67.8,130.41,16.63,23.98
282,ochamchira,98,GE,1586921403,40,42.71,41.47,55.98,10.18
283,bathsheba,20,BB,1586921630,74,13.22,-59.52,78.8,16.11
284,naliya,92,IN,1586921630,66,23.27,68.83,82.24,15.66
285,metro,100,ID,1586921630,71,-5.11,105.31,84.81,3.69
286,longyan,39,CN,1586921630,42,25.11,117.02,72.68,4.41
287,marzuq,80,YE,1586921631,55,14.4,46.47,70.5,3.6
288,arenapolis,100,BR,1586921631,87,-14.45,-56.85,73.83,3.51
289,havelock,75,US,1586921631,82,34.88,-76.9,63.0,4.7
290,la reforma,5,MX,1586921631,64,25.08,-108.05,71.01,4.7
291,zhangye,33,CN,1586921632,17,38.93,100.45,65.59,11.27
292,narsaq,97,GL,1586921632,42,60.92,-46.05,30.2,4.7
293,puerto madryn,99,AR,1586921632,63,-42.77,-65.04,57.52,14.56
294,clyde river,1,CA,1586921380,84,70.47,-68.59,-2.2,3.36
295,ishigaki,0,JP,1586921633,56,24.34,124.16,73.4,8.05
296,norfolk,90,US,1586921423,25,42.17,-71.25,51.01,8.05
297,taitung,40,TW,1586921633,60,22.76,121.14,75.2,6.93
298,pasighat,0,IN,1586921633,33,28.07,95.33,88.5,2.19
299,faya,40,SA,1586921348,87,18.39,42.45,60.8,6.93
300,coronado,20,US,1586921450,77,32.69,-117.18,64.4,6.93
301,ferrol,99,ES,1586921634,93,43.48,-8.24,57.0,5.82
302,portland,20,US,1586921482,58,45.52,-122.68,59.0,10.29
303,sao joao da barra,44,BR,1586921635,82,-21.64,-41.05,74.59,17.63
304,oum hadjer,48,TD,1586921635,15,13.3,19.7,75.99,10.83
305,baragua,24,CU,1586921635,80,21.7,-78.63,77.68,8.3
306,kharan,6,PK,1586921635,37,28.58,65.42,71.71,11.99
307,boguchany,19,RU,1586921635,66,58.38,97.45,48.67,4.18
308,bemidji,90,US,1586921614,62,47.47,-94.88,21.0,6.93
309,haicheng,93,CN,1586921636,20,40.85,122.75,72.52,9.78
310,valparaiso,0,CL,1586921424,87,-33.04,-71.63,51.8,4.7
311,paamiut,99,GL,1586921636,90,61.99,-49.67,28.49,10.2
312,lompoc,1,US,1586921618,93,34.64,-120.46,62.01,5.82
313,bandarbeyla,73,SO,1586921637,73,9.49,50.81,81.3,3.0
314,kenora,5,CA,1586921637,48,49.82,-94.43,21.2,4.7
315,abu samrah,0,SY,1586921637,38,35.3,37.18,57.45,5.44
316,kindu,99,CD,1586921637,82,-2.95,25.95,70.38,2.08
317,kruisfontein,0,ZA,1586921433,83,-34.0,24.73,55.04,5.64
318,whangamata,66,NZ,1586921594,65,-37.2,175.87,64.0,23.0
319,moose factory,90,CA,1586921365,78,51.26,-80.61,10.4,5.82
320,honningsvag,100,NO,1586921638,82,70.98,25.97,36.43,12.44
321,wapi pathum,40,TH,1586921639,65,15.85,103.38,82.4,3.36
322,constitucion,11,CL,1586921639,69,-35.33,-72.42,52.72,6.73
323,san ramon,1,US,1586921639,34,37.78,-121.98,69.8,3.36
324,honiara,75,SB,1586921551,74,-9.43,159.95,87.8,9.17
325,salalah,40,OM,1586921533,74,17.02,54.09,80.6,8.05
326,san quintin,0,MX,1586921351,79,30.48,-115.95,61.2,13.04
327,melo,9,UY,1586921640,68,-32.37,-54.18,52.2,14.29
328,muros,20,ES,1586921640,76,42.78,-9.06,59.0,9.17
329,hirara,75,JP,1586921640,53,24.8,125.28,73.4,6.93
330,mastic beach,90,US,1586921641,61,40.77,-72.85,48.99,6.93
331,novoagansk,100,RU,1586921641,94,61.94,76.66,34.81,11.9
332,tete,7,MZ,1586921641,78,-16.16,33.59,75.2,3.44
333,zeya,0,RU,1586921641,44,53.75,127.27,48.54,4.79
334,san borja,99,BO,1586921642,88,-14.82,-66.85,66.72,0.96
335,soc trang,36,VN,1586921642,51,9.6,105.98,90.05,16.24
336,vila velha,40,BR,1586921642,88,-20.33,-40.29,73.99,3.38
337,pasir gudang,40,MY,1586921642,62,1.46,103.88,91.0,8.05
338,belyy gorodok,100,RU,1586921643,82,56.97,37.51,34.88,3.76
339,flinders,74,AU,1586921643,39,-34.58,150.86,82.0,9.17
340,masasi,97,TZ,1586921643,89,-10.72,38.8,68.4,1.43
341,sitka,90,US,1586921583,87,57.05,-135.33,46.4,0.94
342,rundu,7,NA,1586921643,88,-17.93,19.77,66.2,1.12
343,bijie,18,CN,1586921583,40,27.31,105.29,66.02,2.01
344,sobolevo,100,RU,1586921377,85,54.43,31.9,32.85,11.48
345,farafangana,13,MG,1586921644,84,-22.82,47.83,74.86,3.56
346,comarapa,95,BO,1586921644,52,-17.9,-64.48,54.36,2.35
347,nome,90,US,1586921645,97,64.5,-165.41,33.8,10.29
348,cherskiy,100,RU,1586921645,94,68.75,161.3,9.03,9.91
349,swan hill,95,AU,1586921645,23,-35.34,143.55,79.48,12.77
350,bogorodskoye,100,RU,1586921645,78,56.55,37.88,35.26,3.4
351,meteti,36,PA,1586921645,92,8.5,-77.98,75.49,2.46
352,bambous virieux,75,MU,1586921477,74,-20.34,57.76,78.8,17.22
353,fairmont,1,US,1586921646,80,39.49,-80.14,35.6,5.82
354,popondetta,55,PG,1586921646,54,-8.75,148.25,88.84,3.8
355,havre-saint-pierre,1,CA,1586921646,91,50.23,-63.6,32.0,13.87
356,kenai,90,US,1586921647,60,60.55,-151.26,48.2,5.82
357,nemuro,75,JP,1586921647,55,43.32,145.57,39.2,13.87
358,cockburn town,0,TC,1586921647,81,21.46,-71.14,78.76,19.01
359,douglas,90,US,1586921353,48,41.3,-96.17,41.0,5.82
360,ust-ishim,0,RU,1586921648,70,57.69,71.17,40.64,5.12
361,mukhen,4,RU,1586921496,45,48.1,136.1,47.91,10.07
362,dourbali,64,TD,1586921648,13,11.81,15.86,79.02,8.75
363,yarmouth,90,US,1586921648,61,41.71,-70.23,48.2,10.29
364,okha,100,RU,1586921649,94,53.57,142.95,30.97,11.27
365,stokmarknes,45,NO,1586921649,73,68.56,14.91,39.0,8.01
366,ust-maya,100,RU,1586921649,80,60.42,134.53,34.57,6.44
367,burnie,100,AU,1586921649,86,-41.07,145.92,61.0,3.0
368,tabou,67,CI,1586921650,85,4.42,-7.35,79.66,4.52
369,longonjo,16,AO,1586921650,59,-12.91,15.25,62.29,2.46
370,boralday,90,KZ,1586921650,93,43.36,76.86,46.4,11.18
371,saint-philippe,6,RE,1586921650,73,-21.36,55.77,75.2,5.82
372,erenhot,0,CN,1586921650,29,43.65,111.98,45.61,23.24
373,novo aripuana,100,BR,1586921651,97,-5.12,-60.38,73.06,1.95
374,havoysund,75,NO,1586921651,88,71.0,24.66,32.0,18.34
375,port lincoln,100,AU,1586921651,28,-34.73,135.87,77.36,17.72
376,ulaanbaatar,75,MN,1586921390,47,47.91,106.88,32.0,17.9
377,ende,2,ID,1586921652,72,-8.84,121.66,82.94,2.48
378,koungheul,100,SN,1586921652,27,13.98,-14.8,78.53,9.44
379,bairiki,40,KI,1586921652,74,1.33,172.98,87.8,11.41
380,dingle,18,PH,1586921652,56,11.0,122.67,87.84,8.97
381,karratha,21,AU,1586921653,44,-20.74,116.85,89.91,3.22
382,kemptville,90,CA,1586921653,55,45.02,-75.64,39.0,27.51
383,la orilla,100,MX,1586921653,79,17.98,-102.23,72.88,2.75
384,stiuca,0,RO,1586921653,92,45.57,21.98,30.2,8.05
385,kalmunai,66,LK,1586921653,68,7.42,81.82,84.97,1.88
386,sindor,92,RU,1586921654,88,62.86,51.89,33.69,7.56
387,bundaberg,75,AU,1586921654,57,-24.85,152.35,84.0,14.99
388,san patricio,92,MX,1586921654,67,19.22,-104.7,72.9,4.79
389,ixtapa,5,MX,1586921654,73,20.7,-105.2,73.4,6.93
